FreelanceID,StudentID,TrackName,JobDescribtion,Tool,Platform,Duration,Cost
1,1,PowerBI,Collaborate with stakeholders to identify key performance indicators for reporting,Tabular Editor,khamsat,15,24
2,2,PowerBI,Optimize Power BI reports for performance and responsiveness,Power Query,Upwork,10,324
3,2,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,Power BI Desktop,Mostaqel,18,25
4,2,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Tabular Editor,Upwork,10,252
5,3,PowerBI,Optimize Power BI reports for performance and responsiveness,DAX,khamsat,18,293
6,5,PowerBI,Develop data models to support efficient querying and analysis in Power BI,Power Automate,khamsat,19,173
7,5,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,Tabular Editor,Mostaqel,12,48
8,6,PowerBI,Extract transform and load data from various sources into Power BI for analysis,Power Query,Mostaqel,5,54
9,7,PowerBI,Conduct regular data audits to maintain the quality and relevance of reports,SQL Server,Mostaqel,11,65
10,10,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Power BI Desktop,khamsat,6,115
11,11,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Power Query,khamsat,14,253
12,14,PowerBI,Conduct regular data audits to maintain the quality and relevance of reports,Power BI Desktop,Mostaqel,9,13
13,15,PowerBI,Develop data models to support efficient querying and analysis in Power BI,Power BI,khamsat,11,120
14,15,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Power Automate,Mostaqel,6,287
15,17,PowerBI,Optimize Power BI reports for performance and responsiveness,SQL Server,khamsat,6,206
16,19,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,Power BI Gateway,khamsat,9,281
17,19,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,SQL Server,Upwork,15,271
18,19,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Power BI Gateway,Upwork,6,150
19,20,PowerBI,Extract transform and load data from various sources into Power BI for analysis,DAX,Upwork,17,359
20,20,PowerBI,Collaborate with stakeholders to identify key performance indicators for reporting,Power BI,Mostaqel,10,385
21,22,PowerBI,Optimize Power BI reports for performance and responsiveness,M Query,Mostaqel,9,272
22,22,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,Power BI,Upwork,20,95
23,22,PowerBI,Conduct regular data audits to maintain the quality and relevance of reports,Power Automate,Mostaqel,19,252
24,23,PowerBI,Extract transform and load data from various sources into Power BI for analysis,Power BI Desktop,khamsat,7,343
25,23,PowerBI,Develop data models to support efficient querying and analysis in Power BI,Power BI Gateway,Upwork,8,169
26,24,PowerBI,Collaborate with stakeholders to identify key performance indicators for reporting,Tabular Editor,khamsat,5,46
27,24,PowerBI,Develop data models to support efficient querying and analysis in Power BI,Tabular Editor,Mostaqel,7,6
28,26,PowerBI,Provide training and support for end-users to maximize the utilization of Power BI,Power Query,khamsat,20,274
29,27,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,Power Automate,Upwork,13,311
30,28,PowerBI,Collaborate with stakeholders to identify key performance indicators for reporting,Power Automate,Upwork,6,317
31,31,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,Tabular Editor,khamsat,6,54
32,32,PowerBI,Optimize Power BI reports for performance and responsiveness,M Query,Upwork,15,315
33,32,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Power Query,Mostaqel,13,357
34,32,PowerBI,Provide training and support for end-users to maximize the utilization of Power BI,Power BI Service,khamsat,16,110
35,33,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,Power BI,Mostaqel,17,264
36,34,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,Tabular Editor,Mostaqel,19,197
37,34,PowerBI,Develop data models to support efficient querying and analysis in Power BI,Power BI,Upwork,7,395
38,34,PowerBI,Develop data models to support efficient querying and analysis in Power BI,Power BI Service,khamsat,18,257
39,37,PowerBI,Collaborate with stakeholders to identify key performance indicators for reporting,Power Automate,Mostaqel,5,102
40,37,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,SQL Server,Mostaqel,10,265
41,42,PowerBI,Optimize Power BI reports for performance and responsiveness,Power BI,Upwork,7,97
42,42,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Tabular Editor,khamsat,11,228
43,44,PowerBI,Provide training and support for end-users to maximize the utilization of Power BI,SQL Server,Upwork,15,171
44,44,PowerBI,Extract transform and load data from various sources into Power BI for analysis,Power BI Service,Upwork,13,32
45,45,PowerBI,Conduct regular data audits to maintain the quality and relevance of reports,DAX,Upwork,12,207
46,45,PowerBI,Conduct regular data audits to maintain the quality and relevance of reports,Power BI Desktop,khamsat,12,157
47,47,PowerBI,Conduct regular data audits to maintain the quality and relevance of reports,DAX,Upwork,18,109
48,49,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Power BI Service,Upwork,7,392
49,51,PowerBI,Extract transform and load data from various sources into Power BI for analysis,DAX,Upwork,9,77
50,53,PowerBI,Collaborate with stakeholders to identify key performance indicators for reporting,Power BI Service,khamsat,15,261
51,53,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Power BI,Upwork,19,349
52,54,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Power BI Service,Mostaqel,6,105
53,55,PowerBI,Provide training and support for end-users to maximize the utilization of Power BI,Power BI Service,Upwork,7,258
54,55,PowerBI,Provide training and support for end-users to maximize the utilization of Power BI,Power BI,Mostaqel,15,25
55,55,PowerBI,Extract transform and load data from various sources into Power BI for analysis,SQL Server,Mostaqel,6,312
56,58,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Power BI Service,Mostaqel,6,149
57,59,PowerBI,Optimize Power BI reports for performance and responsiveness,Power BI Gateway,khamsat,12,31
58,60,PowerBI,Ensure data accuracy and integrity while building Power BI solutions,Tabular Editor,Upwork,5,64
59,63,PowerBI,Extract transform and load data from various sources into Power BI for analysis,DAX,Upwork,13,47
60,63,PowerBI,Conduct regular data audits to maintain the quality and relevance of reports,DAX,Upwork,13,94
61,63,PowerBI,Design and implement Power BI dashboards for comprehensive business analytics,Power Query,Upwork,11,179
62,63,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,Power BI Gateway,khamsat,19,125
63,65,PowerBI,Conduct regular data audits to maintain the quality and relevance of reports,Power BI Desktop,Upwork,19,329
64,65,PowerBI,Create interactive and dynamic reports to present complex data in a comprehensible manner,Power Automate,Upwork,18,22
